ms,rpm,pedal,speed,coolant,ethanol,ethanol_age,measured_torque,map,brake,clutch,launch
1100,3000,70,40,90,10,0,0,2,0,0,0
1120,3000,70,40,90,10,0,0,2,0,0,0
1140,3000,70,40,90,10,0,0,2,0,0,0
1160,3000,70,40,90,10,0,0,2,0,0,0
1180,3000,70,40,90,10,0,0,2,0,0,0
1200,3000,70,40,90,10,0,0,2,0,0,0
1220,3000,70,40,90,10,0,0,2,0,0,0
1240,3000,70,40,90,10,0,0,2,0,0,0
1260,3000,70,40,90,10,0,0,2,0,0,0
1280,3000,70,40,90,10,0,0,2,0,0,0
1300,3000,70,40,90,10,0,0,2,0,0,0
1320,3000,70,40,90,10,0,0,2,0,0,0
1340,3000,70,40,90,10,0,0,2,0,0,0
1360,3000,70,40,90,10,0,0,2,0,0,0
1380,3000,70,40,90,10,0,0,2,0,0,0
1400,3000,70,40,90,10,0,0,2,0,0,0
1420,3000,70,40,90,10,0,0,2,0,0,0
1440,3000,70,40,90,10,0,0,2,0,0,0
1460,3000,70,40,90,10,0,0,2,0,0,0
1480,3000,70,40,90,10,0,0,2,0,0,0
1500,3000,70,40,90,10,0,0,2,0,0,0
1520,3000,70,40,90,10,0,0,2,0,0,0
1540,3000,70,40,90,10,0,0,2,0,0,0
1560,3000,70,40,90,10,0,0,2,0,0,0
1580,3000,70,40,90,10,0,0,2,0,0,0
1600,3000,70,40,90,10,0,0,2,0,0,0
1620,3000,70,40,90,10,0,0,2,0,0,0
1640,3000,70,40,90,10,0,0,2,0,0,0
1660,3000,70,40,90,10,0,0,2,0,0,0
1680,3000,70,40,90,10,0,0,2,0,0,0
1700,3000,70,40,90,10,0,0,2,0,0,0
1720,3000,70,40,90,10,0,0,2,0,0,0
1740,3000,70,40,90,10,0,0,2,0,0,0
1760,3000,70,40,90,10,0,0,2,0,0,0
1780,3000,70,40,90,10,0,0,2,0,0,0
1800,3000,70,40,90,85,0,0,2,0,0,0
1820,3000,70,40,90,85,0,0,2,0,0,0
1840,3000,70,40,90,85,0,0,2,0,0,0
1860,3000,70,40,90,85,0,0,2,0,0,0
1880,3000,70,40,90,85,0,0,2,0,0,0
1900,3000,70,40,90,85,0,0,2,0,0,0
1920,3000,70,40,90,85,0,0,2,0,0,0
1940,3000,70,40,90,85,0,0,2,0,0,0
1960,3000,70,40,90,85,0,0,2,0,0,0
1980,3000,70,40,90,85,0,0,2,0,0,0
2000,3000,70,40,90,85,0,0,2,0,0,0
2020,3000,70,40,90,85,0,0,2,0,0,0
2040,3000,70,40,90,85,0,0,2,0,0,0
2060,3000,70,40,90,85,0,0,2,0,0,0
2080,3000,70,40,90,85,0,0,2,0,0,0
2100,3000,70,40,90,85,0,0,2,0,0,0
2120,3000,70,40,90,85,0,0,2,0,0,0
2140,3000,70,40,90,85,0,0,2,0,0,0
2160,3000,70,40,90,85,0,0,2,0,0,0
2180,3000,70,40,90,85,0,0,2,0,0,0
2200,3000,70,40,90,85,0,0,2,0,0,0
2220,3000,70,40,90,85,0,0,2,0,0,0
2240,3000,70,40,90,85,0,0,2,0,0,0
2260,3000,70,40,90,85,0,0,2,0,0,0
2280,3000,70,40,90,85,0,0,2,0,0,0
2300,3000,70,40,90,85,0,0,2,0,0,0
2320,3000,70,40,90,85,0,0,2,0,0,0
2340,3000,70,40,90,85,0,0,2,0,0,0
2360,3000,70,40,90,85,0,0,2,0,0,0
2380,3000,70,40,90,85,0,0,2,0,0,0
2400,3000,70,40,90,85,0,0,2,0,0,0
2420,3000,70,40,90,85,0,0,2,0,0,0
2440,3000,70,40,90,85,0,0,2,0,0,0
2460,3000,70,40,90,85,0,0,2,0,0,0
2480,3000,70,40,90,85,0,0,2,0,0,0
2500,3000,70,40,90,85,0,0,2,0,0,0
2520,3000,70,40,90,85,0,0,2,0,0,0
2540,3000,70,40,90,85,0,0,2,0,0,0
2560,3000,70,40,90,85,0,0,2,0,0,0
2580,3000,70,40,90,85,0,0,2,0,0,0
2600,3000,70,40,90,85,0,0,2,0,0,0
2620,3000,70,40,90,85,0,0,2,0,0,0
2640,3000,70,40,90,85,0,0,2,0,0,0
2660,3000,70,40,90,85,0,0,2,0,0,0
2680,3000,70,40,90,85,0,0,2,0,0,0
2700,3000,70,40,90,85,0,0,2,0,0,0
2720,3000,70,40,90,85,0,0,2,0,0,0
2740,3000,70,40,90,85,0,0,2,0,0,0
2760,3000,70,40,90,85,0,0,2,0,0,0
2780,3000,70,40,90,85,0,0,2,0,0,0
2800,3000,70,40,90,85,0,0,2,0,0,0
2820,3000,70,40,90,85,0,0,2,0,0,0
2840,3000,70,40,90,85,0,0,2,0,0,0
2860,3000,70,40,90,85,0,0,2,0,0,0
2880,3000,70,40,90,85,0,0,2,0,0,0
2900,3000,70,40,90,85,0,0,2,0,0,0
2920,3000,70,40,90,85,0,0,2,0,0,0
2940,3000,70,40,90,85,0,0,2,0,0,0
2960,3000,70,40,90,85,0,0,2,0,0,0
2980,3000,70,40,90,85,0,0,2,0,0,0
3000,3000,100,40,90,85,0,0,2,0,1,0
3020,3000,100,40,90,85,0,0,2,0,1,0
3040,3000,100,40,90,85,0,0,2,0,1,0
3060,3000,100,40,90,85,0,0,2,0,1,0
3080,3000,100,40,90,85,0,0,2,0,1,0
3100,3000,100,40,90,85,0,0,2,0,1,0
3120,3000,100,40,90,85,0,0,2,0,1,0
3140,3000,100,40,90,85,0,0,2,0,1,0
3160,3000,100,40,90,85,0,0,2,0,1,0
3180,3000,100,40,90,85,0,0,2,0,1,0
3200,3000,100,40,90,85,0,0,2,0,1,0
3220,3000,100,40,90,85,0,0,2,0,1,0
3240,3000,100,40,90,85,0,0,2,0,1,0
3260,3000,100,40,90,85,0,0,2,0,1,0
3280,3000,100,40,90,85,0,0,2,0,1,0
3300,3000,70,40,90,85,0,0,2,0,0,0
3320,3000,70,40,90,85,0,0,2,0,0,0
3340,3000,70,40,90,85,0,0,2,0,0,0
3360,3000,70,40,90,85,0,0,2,0,0,0
3380,3000,70,40,90,85,0,0,2,0,0,0
3400,3000,70,40,90,85,0,0,2,0,0,0
3420,3000,70,40,90,85,0,0,2,0,0,0
3440,3000,70,40,90,85,0,0,2,0,0,0
3460,3000,70,40,90,85,0,0,2,0,0,0
3480,3000,70,40,90,85,0,0,2,0,0,0
3500,3000,70,40,90,85,0,0,2,0,0,0
3520,3000,70,40,90,85,0,0,2,0,0,0
3540,3000,70,40,90,85,0,0,2,0,0,0
3560,3000,70,40,90,85,0,0,2,0,0,0
3580,3000,70,40,90,85,0,0,2,0,0,0
3600,3000,70,40,90,85,0,0,2,0,0,0
3620,3000,70,40,90,85,0,0,2,0,0,0
3640,3000,70,40,90,85,0,0,2,0,0,0
3660,3000,70,40,90,85,0,0,2,0,0,0
3680,3000,70,40,90,85,0,0,2,0,0,0
3700,3000,70,40,90,85,0,0,2,0,0,0
3720,3000,70,40,90,85,0,0,2,0,0,0
3740,3000,70,40,90,85,0,0,2,0,0,0
3760,3000,70,40,90,85,0,0,2,0,0,0
3780,3000,70,40,90,85,0,0,2,0,0,0
3800,3000,70,40,90,85,0,0,2,0,0,0
3820,3000,70,40,90,85,0,0,2,0,0,0
3840,3000,70,40,90,85,0,0,2,0,0,0
3860,3000,70,40,90,85,0,0,2,0,0,0
3880,3000,70,40,90,85,0,0,2,0,0,0
3900,3000,70,40,90,85,0,0,2,0,0,0
3920,3000,70,40,90,85,0,0,2,0,0,0
3940,3000,70,40,90,85,0,0,2,0,0,0
3960,3000,70,40,90,85,0,0,2,0,0,0
3980,3000,70,40,90,85,0,0,2,0,0,0
4000,3500,100,0,90,85,0,0,2,1,0,1
4020,3500,100,0,90,85,0,0,2,1,0,1
4040,3500,100,0,90,85,0,0,2,1,0,1
4060,3500,100,0,90,85,0,0,2,1,0,1
4080,3500,100,0,90,85,0,0,2,1,0,1
4100,3500,100,0,90,85,0,0,2,1,0,1
4120,3500,100,0,90,85,0,0,2,1,0,1
4140,3500,100,0,90,85,0,0,2,1,0,1
4160,3500,100,0,90,85,0,0,2,1,0,1
4180,3500,100,0,90,85,0,0,2,1,0,1
4200,3500,100,0,90,85,0,0,2,1,0,1
4220,3500,100,0,90,85,0,0,2,1,0,1
4240,3500,100,0,90,85,0,0,2,1,0,1
4260,3500,100,0,90,85,0,0,2,1,0,1
4280,3500,100,0,90,85,0,0,2,1,0,1
4300,3500,100,0,90,85,0,0,2,1,0,1
4320,3500,100,0,90,85,0,0,2,1,0,1
4340,3500,100,0,90,85,0,0,2,1,0,1
4360,3500,100,0,90,85,0,0,2,1,0,1
4380,3500,100,0,90,85,0,0,2,1,0,1
4400,3500,100,0,90,85,0,0,2,1,0,1
4420,3500,100,0,90,85,0,0,2,1,0,1
4440,3500,100,0,90,85,0,0,2,1,0,1
4460,3500,100,0,90,85,0,0,2,1,0,1
4480,3500,100,0,90,85,0,0,2,1,0,1
4500,3500,100,0,90,85,0,0,2,1,0,1
4520,3500,100,0,90,85,0,0,2,1,0,1
4540,3500,100,0,90,85,0,0,2,1,0,1
4560,3500,100,0,90,85,0,0,2,1,0,1
4580,3500,100,0,90,85,0,0,2,1,0,1
4600,3500,100,0,90,85,0,0,2,1,0,1
4620,3500,100,0,90,85,0,0,2,1,0,1
4640,3500,100,0,90,85,0,0,2,1,0,1
4660,3500,100,0,90,85,0,0,2,1,0,1
4680,3500,100,0,90,85,0,0,2,1,0,1
4700,3500,100,0,90,85,0,0,2,1,0,1
4720,3500,100,0,90,85,0,0,2,1,0,1
4740,3500,100,0,90,85,0,0,2,1,0,1
4760,3500,100,0,90,85,0,0,2,1,0,1
4780,3500,100,0,90,85,0,0,2,1,0,1
4800,3500,100,0,90,85,0,0,2,1,0,1
4820,3500,100,0,90,85,0,0,2,1,0,1
4840,3500,100,0,90,85,0,0,2,1,0,1
4860,3500,100,0,90,85,0,0,2,1,0,1
4880,3500,100,0,90,85,0,0,2,1,0,1
4900,3500,100,0,90,85,0,0,2,1,0,1
4920,3500,100,0,90,85,0,0,2,1,0,1
4940,3500,100,0,90,85,0,0,2,1,0,1
4960,3500,100,0,90,85,0,0,2,1,0,1
4980,3500,100,0,90,85,0,0,2,1,0,1
5000,3500,100,0,90,85,0,0,2,1,0,1
5020,3500,100,0,90,85,0,0,2,1,0,1
5040,3500,100,0,90,85,0,0,2,1,0,1
5060,3500,100,0,90,85,0,0,2,1,0,1
5080,3500,100,0,90,85,0,0,2,1,0,1
5100,3500,100,0,90,85,0,0,2,1,0,1
5120,3500,100,0,90,85,0,0,2,1,0,1
5140,3500,100,0,90,85,0,0,2,1,0,1
5160,3500,100,0,90,85,0,0,2,1,0,1
5180,3500,100,0,90,85,0,0,2,1,0,1
5200,3500,100,0,90,85,0,0,2,1,0,1
5220,3500,100,0,90,85,0,0,2,1,0,1
5240,3500,100,0,90,85,0,0,2,1,0,1
5260,3500,100,0,90,85,0,0,2,1,0,1
5280,3500,100,0,90,85,0,0,2,1,0,1
5300,3500,100,0,90,85,0,0,2,1,0,1
5320,3500,100,0,90,85,0,0,2,1,0,1
5340,3500,100,0,90,85,0,0,2,1,0,1
5360,3500,100,0,90,85,0,0,2,1,0,1
5380,3500,100,0,90,85,0,0,2,1,0,1
5400,3500,100,0,90,85,0,0,2,1,0,1
5420,3500,100,0,90,85,0,0,2,1,0,1
5440,3500,100,0,90,85,0,0,2,1,0,1
5460,3500,100,0,90,85,0,0,2,1,0,1
5480,3500,100,0,90,85,0,0,2,1,0,1
5500,3500,100,0,90,85,0,0,2,1,0,1
5520,3500,100,0,90,85,0,0,2,1,0,1
5540,3500,100,0,90,85,0,0,2,1,0,1
5560,3500,100,0,90,85,0,0,2,1,0,1
5580,3500,100,0,90,85,0,0,2,1,0,1
5600,3500,100,0,90,85,0,0,2,1,0,1
5620,3500,100,0,90,85,0,0,2,1,0,1
5640,3500,100,0,90,85,0,0,2,1,0,1
5660,3500,100,0,90,85,0,0,2,1,0,1
5680,3500,100,0,90,85,0,0,2,1,0,1
5700,3500,100,0,90,85,0,0,2,1,0,1
5720,3500,100,0,90,85,0,0,2,1,0,1
5740,3500,100,0,90,85,0,0,2,1,0,1
5760,3500,100,0,90,85,0,0,2,1,0,1
5780,3500,100,0,90,85,0,0,2,1,0,1
5800,3500,100,0,90,85,0,0,2,1,0,1
5820,3500,100,0,90,85,0,0,2,1,0,1
5840,3500,100,0,90,85,0,0,2,1,0,1
5860,3500,100,0,90,85,0,0,2,1,0,1
5880,3500,100,0,90,85,0,0,2,1,0,1
5900,3500,100,0,90,85,0,0,2,1,0,1
5920,3500,100,0,90,85,0,0,2,1,0,1
5940,3500,100,0,90,85,0,0,2,1,0,1
5960,3500,100,0,90,85,0,0,2,1,0,1
5980,3500,100,0,90,85,0,0,2,1,0,1
6000,3500,100,0,90,85,0,0,2,1,0,1
6020,3500,100,0,90,85,0,0,2,1,0,1
6040,3500,100,0,90,85,0,0,2,1,0,1
6060,3500,100,0,90,85,0,0,2,1,0,1
6080,3500,100,0,90,85,0,0,2,1,0,1
6100,3500,100,0,90,85,0,0,2,1,0,1
6120,3500,100,0,90,85,0,0,2,1,0,1
6140,3500,100,0,90,85,0,0,2,1,0,1
6160,3500,100,0,90,85,0,0,2,1,0,1
6180,3500,100,0,90,85,0,0,2,1,0,1
6200,3500,100,0,90,85,0,0,2,1,0,1
6220,3500,100,0,90,85,0,0,2,1,0,1
6240,3500,100,0,90,85,0,0,2,1,0,1
6260,3500,100,0,90,85,0,0,2,1,0,1
6280,3500,100,0,90,85,0,0,2,1,0,1
6300,3500,100,0,90,85,0,0,2,1,0,1
6320,3500,100,0,90,85,0,0,2,1,0,1
6340,3500,100,0,90,85,0,0,2,1,0,1
6360,3500,100,0,90,85,0,0,2,1,0,1
6380,3500,100,0,90,85,0,0,2,1,0,1
6400,3500,100,0,90,85,0,0,2,1,0,1
6420,3500,100,0,90,85,0,0,2,1,0,1
6440,3500,100,0,90,85,0,0,2,1,0,1
6460,3500,100,0,90,85,0,0,2,1,0,1
6480,3500,100,0,90,85,0,0,2,1,0,1
6500,3000,70,40,90,85,0,0,2,0,0,0
6520,3000,70,40,90,85,0,0,2,0,0,0
6540,3000,70,40,90,85,0,0,2,0,0,0
6560,3000,70,40,90,85,0,0,2,0,0,0
6580,3000,70,40,90,85,0,0,2,0,0,0
6600,3000,70,40,135,85,0,0,2,0,0,0
6620,3000,70,40,135,85,0,0,2,0,0,0
6640,3000,70,40,135,85,0,0,2,0,0,0
6660,3000,70,40,135,85,0,0,2,0,0,0
6680,3000,70,40,135,85,0,0,2,0,0,0
6700,3000,70,40,135,85,0,0,2,0,0,0
6720,3000,70,40,135,85,0,0,2,0,0,0
6740,3000,70,40,135,85,0,0,2,0,0,0
6760,3000,70,40,135,85,0,0,2,0,0,0
6780,3000,70,40,135,85,0,0,2,0,0,0
6800,3000,70,40,135,85,0,0,2,0,0,0
6820,3000,70,40,135,85,0,0,2,0,0,0
6840,3000,70,40,135,85,0,0,2,0,0,0
6860,3000,70,40,135,85,0,0,2,0,0,0
6880,3000,70,40,135,85,0,0,2,0,0,0
6900,3000,70,40,135,85,0,0,2,0,0,0
6920,3000,70,40,135,85,0,0,2,0,0,0
6940,3000,70,40,135,85,0,0,2,0,0,0
6960,3000,70,40,135,85,0,0,2,0,0,0
6980,3000,70,40,135,85,0,0,2,0,0,0
7000,3000,70,40,90,85,0,0,2,0,0,0
7020,3000,70,40,90,85,0,0,2,0,0,0
7040,3000,70,40,90,85,0,0,2,0,0,0
7060,3000,70,40,90,85,0,0,2,0,0,0
7080,3000,70,40,90,85,0,0,2,0,0,0
7100,3000,70,40,90,85,0,0,2,0,0,0
7120,3000,70,40,90,85,0,0,2,0,0,0
7140,3000,70,40,90,85,0,0,2,0,0,0
7160,3000,70,40,90,85,0,0,2,0,0,0
7180,3000,70,40,90,85,0,0,2,0,0,0
7200,3000,70,40,90,85,500,0,2,0,0,0
7220,3000,70,40,90,85,500,0,2,0,0,0
7240,3000,70,40,90,85,500,0,2,0,0,0
7260,3000,70,40,90,85,500,0,2,0,0,0
7280,3000,70,40,90,85,500,0,2,0,0,0
7300,3000,70,40,90,85,500,0,2,0,0,0
7320,3000,70,40,90,85,500,0,2,0,0,0
7340,3000,70,40,90,85,500,0,2,0,0,0
7360,3000,70,40,90,85,500,0,2,0,0,0
7380,3000,70,40,90,85,500,0,2,0,0,0
7400,3000,70,40,90,85,500,0,2,0,0,0
7420,3000,70,40,90,85,500,0,2,0,0,0
7440,3000,70,40,90,85,500,0,2,0,0,0
7460,3000,70,40,90,85,500,0,2,0,0,0
7480,3000,70,40,90,85,500,0,2,0,0,0
7500,3000,70,40,90,85,500,0,2,0,0,0
7520,3000,70,40,90,85,500,0,2,0,0,0
7540,3000,70,40,90,85,500,0,2,0,0,0
7560,3000,70,40,90,85,500,0,2,0,0,0
7580,3000,70,40,90,85,500,0,2,0,0,0
7600,3000,70,40,90,85,0,0,2,0,0,0
7620,3000,70,40,90,85,0,0,2,0,0,0
7640,3000,70,40,90,85,0,0,2,0,0,0
7660,3000,70,40,90,85,0,0,2,0,0,0
7680,3000,70,40,90,85,0,0,2,0,0,0
7700,3000,70,40,90,85,0,0,2,0,0,0
7720,3000,70,40,90,85,0,0,2,0,0,0
7740,3000,70,40,90,85,0,0,2,0,0,0
7760,3000,70,40,90,85,0,0,2,0,0,0
7780,3000,70,40,90,85,0,0,2,0,0,0
7800,3000,70,40,90,85,0,300,2,0,0,0
7820,3000,70,40,90,85,0,300,2,0,0,0
7840,3000,70,40,90,85,0,300,2,0,0,0
7860,3000,70,40,90,85,0,300,2,0,0,0
7880,3000,70,40,90,85,0,300,2,0,0,0
7900,3000,70,40,90,85,0,300,2,0,0,0
7920,3000,70,40,90,85,0,300,2,0,0,0
7940,3000,70,40,90,85,0,300,2,0,0,0
7960,3000,70,40,90,85,0,300,2,0,0,0
7980,3000,70,40,90,85,0,300,2,0,0,0
8000,3000,70,40,90,85,0,300,2,0,0,0
8020,3000,70,40,90,85,0,300,2,0,0,0
8040,3000,70,40,90,85,0,300,2,0,0,0
8060,3000,70,40,90,85,0,300,2,0,0,0
8080,3000,70,40,90,85,0,300,2,0,0,0
8100,3000,70,40,90,85,0,300,2,0,0,0
8120,3000,70,40,90,85,0,300,2,0,0,0
8140,3000,70,40,90,85,0,300,2,0,0,0
8160,3000,70,40,90,85,0,300,2,0,0,0
8180,3000,70,40,90,85,0,300,2,0,0,0
8200,3000,70,40,90,85,0,300,2,0,0,0
8220,3000,70,40,90,85,0,300,2,0,0,0
8240,3000,70,40,90,85,0,300,2,0,0,0
8260,3000,70,40,90,85,0,300,2,0,0,0
8280,3000,70,40,90,85,0,300,2,0,0,0
8300,3000,70,40,90,85,0,300,2,0,0,0
8320,3000,70,40,90,85,0,300,2,0,0,0
8340,3000,70,40,90,85,0,300,2,0,0,0
8360,3000,70,40,90,85,0,300,2,0,0,0
8380,3000,70,40,90,85,0,300,2,0,0,0
8400,3000,70,40,90,85,0,300,2,0,0,0
